id,lineage,sequence_length
"""ON788794""","""BA.2.31""",58230
"""ON721712""","""BA.2.31""",58920
"""OX202316""","""BA.2.31""",58260
"""ON521985""","""BA.2.31""",59066
"""ON452025""","""BA.2.31""",58642
"""ON536984""","""BA.2.31""",59580
"""ON521990""","""BA.2.31""",59266
"""ON199788""","""BA.2.31""",59206
"""OW579121""","""BA.2.31""",59582
"""OW820009""","""BA.2.31""",59502
"""ON307848""","""BA.2.31""",59596
"""ON761368""","""BA.2.31""",59518
"""ON498808""","""BA.2.31""",59592
"""ON823654""","""BA.2.31""",59402
"""ON540967""","""BA.2.31""",59650
"""ON392477""","""BA.2.31""",59534
"""ON535669""","""BA.2.31""",59574
"""ON821946""","""BA.2.31""",59606
"""ON739112""","""BA.2.31""",59564
"""OP025516""","""BA.2.31""",59712
"""ON789390""","""BA.2.31""",59630
"""ON335920""","""BA.2.31""",59620
"""ON593564""","""BA.2.31""",59626
"""ON571240""","""BA.2.31""",59626
"""ON633256""","""BA.2.31""",59660
"""OW229583""","""BA.2.31""",59770
"""ON247636""","""BA.2.31""",59734
"""ON608032""","""BA.2.31""",59658
"""ON741844""","""BA.2.31""",59694
"""ON253582""","""BA.2.31""",59776
"""ON713157""","""BA.2.31""",59718
"""OW724186""","""BA.2.31""",59614
"""ON967337""","""BA.2.31""",59614
"""ON780070""","""BA.2.31""",59534
"""OW041238""","""BA.2.31""",57428
"""ON657006""","""BA.2.31""",59270
"""ON510142""","""BA.2.31""",59632
"""OW404925""","""BA.2.31""",59242
"""ON310122""","""BA.2.31""",59564
"""OX217461""","""BA.2.31""",59792
"""OX186444""","""BA.2.31""",59794
"""ON571269""","""BA.2.31""",59730
"""ON422447""","""BA.2.31""",59798
"""ON466577""","""BA.2.31""",59730
"""ON295101""","""BA.2.31""",59746
"""ON879322""","""BA.2.31""",59734
"""ON250895""","""BA.2.31""",59704
"""OX134400""","""BA.2.31""",59700
"""ON200414""","""BA.2.31""",59694
"""ON174335""","""BA.2.31""",59744
"""ON559845""","""BA.2.31""",59698
"""OX222274""","""BA.2.31""",59682
"""ON499985""","""BA.2.31""",59704
"""ON451762""","""BA.2.31""",59638
"""ON335548""","""BA.2.31""",59710
"""ON591124""","""BA.2.31""",59716
"""OV997562""","""BA.2.31""",59802
"""ON393773""","""BA.2.31""",59680
"""ON498014""","""BA.2.31""",59596
"""ON499336""","""BA.2.31""",59700
"""ON396346""","""BA.2.31""",59630
"""ON452806""","""BA.2.31""",59610
"""ON570460""","""BA.2.31""",59586
"""ON364448""","""BA.2.31""",58958
"""ON549163""","""BA.2.31""",58862
"""OW350691""","""BA.2.31""",58012
"""ON395688""","""BA.2.31""",59392
"""ON395288""","""BA.2.31""",59448
"""ON636917""","""BA.2.31""",59452
"""ON144374""","""BA.2.31""",59576
"""OP052260""","""BA.2.31""",59584
"""OW429629""","""BA.2.31""",59626
"""ON740210""","""BA.2.31""",59626
"""ON520917""","""BA.2.31""",59588
"""ON844216""","""BA.2.31""",59664
"""OW258159""","""BA.2.31""",59584
"""ON455518""","""BA.2.31""",59668
"""ON493520""","""BA.2.31""",59646
"""ON332904""","""BA.2.31""",59772
"""ON252851""","""BA.2.31""",59778
"""ON643314""","""BA.2.31""",59802
"""ON998950""","""BA.2.31""",59730
"""ON481092""","""BA.2.31""",59704
"""ON675015""","""BA.2.31""",59710
"""OX206430""","""BA.2.31""",59734
"""ON251539""","""BA.2.31""",59686
"""ON629060""","""BA.2.31""",59644
"""OP161347""","""BA.2.31""",59716
"""ON538519""","""BA.2.31""",59628
"""ON772213""","""BA.2.31""",59706
"""OW201662""","""BA.2.31""",59666
"""ON372687""","""BA.2.31""",59640
"""ON743839""","""BA.2.31""",59630
"""ON858356""","""BA.2.31""",59602
"""ON652731""","""BA.2.31""",59626
"""ON346921""","""BA.2.31""",59678
"""OW655563""","""BA.2.31""",59042
"""ON254372""","""BA.2.31""",59042
"""ON618028""","""BA.2.31""",59074
"""ON942958""","""BA.2.31""",59042
"""ON490428""","""BA.2.31""",59608
"""ON927287""","""BA.2.31""",58080
"""ON726687""","""BA.2.31""",59696
"""OW268300""","""BA.2.31""",59638
"""ON252396""","""BA.2.31""",59628
"""ON105542""","""BA.2.31""",59642
"""ON523863""","""BA.2.31""",59626
"""ON364442""","""BA.2.31""",59686
"""OW321429""","""BA.2.31""",59624
"""ON335179""","""BA.2.31""",59548
"""ON722607""","""BA.2.31""",59728
"""OX208511""","""BA.2.31""",58972
"""ON592848""","""BA.2.31""",59632
"""OX216244""","""BA.2.31""",59642
"""OW183052""","""BA.2.31""",59630
"""OX220107""","""BA.2.31""",59724
"""ON894508""","""BA.2.31""",59802
"""ON739025""","""BA.2.31""",59798
"""ON602129""","""BA.2.31""",59722
"""ON390340""","""BA.2.31""",59806
"""ON824029""","""BA.2.31""",59664
"""ON552672""","""BA.2.31""",59794
"""ON175192""","""BA.2.31""",59736
"""OW487993""","""BA.2.31""",59564
"""OP125472""","""BA.2.31""",59790
"""ON739148""","""BA.2.31""",59642
"""OW387851""","""BA.2.31""",59672
"""ON364445""","""BA.2.31""",59618
"""ON949603""","""BA.2.31""",59638
"""ON781649""","""BA.2.31""",59564
"""ON503763""","""BA.2.31""",59540
"""ON743793""","""BA.2.31""",59562
"""ON206868""","""BA.2.31""",59730
"""OW369010""","""BA.2.31""",59722
"""OW817234""","""BA.2.31""",59722
"""ON249365""","""BA.2.31""",59634
"""ON689894""","""BA.2.31""",59634
"""ON364437""","""BA.2.31""",59652
"""ON854393""","""BA.2.31""",59794
"""ON451531""","""BA.2.31""",59732
"""ON897432""","""BA.2.31""",59618
"""ON423601""","""BA.2.31""",59728
"""ON674234""","""BA.2.31""",59296
"""ON183431""","""BA.2.31""",59482
"""ON801476""","""BA.2.31""",59626
"""ON552596""","""BA.2.31""",59806
"""ON423482""","""BA.2.31""",59806
"""ON349039""","""BA.2.31""",59630
"""ON606967""","""BA.2.31""",59620
"""ON766860""","""BA.2.31""",59652
"""ON536966""","""BA.2.31""",59686
"""ON855531""","""BA.2.31""",59658
"""ON372688""","""BA.2.31""",59686
"""ON311838""","""BA.2.31""",59674
"""ON415070""","""BA.2.31""",59538
"""ON421436""","""BA.2.31""",59700
"""ON987194""","""BA.2.31""",59278
"""ON802884""","""BA.2.31""",59694
"""OW722226""","""BA.2.31""",59690
"""OW822771""","""BA.2.31""",59696
"""OW243314""","""BA.2.31""",59674
"""OW261507""","""BA.2.31""",59654
"""ON539776""","""BA.2.31""",59716
"""ON200410""","""BA.2.31""",59552
"""ON707834""","""BA.2.31""",59604
"""ON549677""","""BA.2.31""",59576
"""ON597118""","""BA.2.31""",59646
"""OX224285""","""BA.2.31""",59720
"""ON412300""","""BA.2.31""",59630
"""OX218582""","""BA.2.31""",59630
"""ON814129""","""BA.2.31""",59564
"""ON742170""","""BA.2.31""",59564
"""ON250896""","""BA.2.31""",59564
"""ON143556""","""BA.2.31""",59564
"""ON489468""","""BA.2.31""",59648
"""ON402169""","""BA.2.31""",59566
"""OW288645""","""BA.2.31""",59494
"""ON786805""","""BA.2.31""",59578
"""ON965702""","""BA.2.31""",59564
"""ON571243""","""BA.2.31""",59582
"""OW656960""","""BA.2.31""",59626
"""ON234065""","""BA.2.31""",59490
"""ON143677""","""BA.2.31""",59682
"""OW820328""","""BA.2.31""",59518
"""OX200161""","""BA.2.31""",59698
"""OW981675""","""BA.2.31""",58668
"""ON297612""","""BA.2.31""",59426
"""OW856502""","""BA.2.31""",59416
"""ON250798""","""BA.2.31""",59426
"""ON562571""","""BA.2.31""",59428
"""OX204976""","""BA.2.31""",59414
"""OP143490""","""BA.2.31""",59426
"""ON652744""","""BA.2.31""",59426
"""ON423485""","""BA.2.31""",59414
"""ON143439""","""BA.2.31""",59420
"""ON251667""","""BA.2.31""",59396
"""OW807890""","""BA.2.31""",59426
"""OW142754""","""BA.2.31""",59426
"""ON761707""","""BA.2.31""",59414
"""ON879549""","""BA.2.31""",59426
"""ON373695""","""BA.2.31""",59624
"""ON105670""","""BA.2.31""",59564
"""ON643428""","""BA.2.31""",59564
"""ON520019""","""BA.2.31""",59564
"""ON201219""","""BA.2.31""",59564
"""ON721813""","""BA.2.31""",59564
"""ON402018""","""BA.2.31""",59534
"""ON566671""","""BA.2.31""",59564
"""ON591242""","""BA.2.31""",59712
"""ON773269""","""BA.2.31""",59564
"""ON643421""","""BA.2.31""",59574
"""OW211010""","""BA.2.31""",59806
"""ON530472""","""BA.2.31""",59610
"""OX201076""","""BA.2.31""",59594
"""ON294818""","""BA.2.31""",59358
"""ON201057""","""BA.2.31""",59726
"""OX215221""","""BA.2.31""",59788
"""ON702972""","""BA.2.31""",59298
"""OW550986""","""BA.2.31""",59430
"""OW266782""","""BA.2.31""",59416
"""OW640367""","""BA.2.31""",59736
"""ON143456""","""BA.2.31""",59416
"""ON519439""","""BA.2.31""",59734
"""ON680441""","""BA.2.31""",59610
"""ON562886""","""BA.2.31""",59606
"""OP037362""","""BA.2.31""",59606
"""OX223929""","""BA.2.31""",59736
"""OW155339""","""BA.2.31""",59796
"""OW490065""","""BA.2.31""",59418
"""ON652749""","""BA.2.31""",59416
"""ON348161""","""BA.2.31""",59586
"""ON552708""","""BA.2.31""",59062
"""OW243881""","""BA.2.31""",59736
"""ON320621""","""BA.2.31""",59752
"""ON310109""","""BA.2.31""",59754
"""OX079701""","""BA.2.31""",59546
"""ON631547""","""BA.2.31""",59370
"""OX118704""","""BA.2.31""",59672
"""ON423603""","""BA.2.31""",59606
"""OX145956""","""BA.2.31""",59674
"""OW821314""","""BA.2.31""",59606
"""ON622289""","""BA.2.31""",59606
"""ON510144""","""BA.2.31""",59676
"""ON640834""","""BA.2.31""",59494
"""OW659199""","""BA.2.31""",59390
"""OW195278""","""BA.2.31""",59420
"""OW457204""","""BA.2.31""",59616
"""ON925220""","""BA.2.31""",59616
"""ON384323""","""BA.2.31""",59640
"""ON879694""","""BA.2.31""",59662
"""OP180150""","""BA.2.31""",59654
"""ON255186""","""BA.2.31""",59616
"""OX215450""","""BA.2.31""",59616
"""ON588660""","""BA.2.31""",59504
"""ON923235""","""BA.2.31""",59418
"""ON732540""","""BA.2.31""",59416
"""ON660406""","""BA.2.31""",59418
"""OW163956""","""BA.2.31""",59564
"""ON702252""","""BA.2.31""",59704
"""ON788826""","""BA.2.31""",59564
"""ON253183""","""BA.2.31""",59564
"""ON498714""","""BA.2.31""",59564
"""ON653738""","""BA.2.31""",59564
"""ON695272""","""BA.2.31""",59564
"""ON684449""","""BA.2.31""",59564
"""ON494248""","""BA.2.31""",59564
"""ON942588""","""BA.2.31""",59564
"""ON510210""","""BA.2.31""",59564
"""ON481781""","""BA.2.31""",59564
"""ON608304""","""BA.2.31""",59654
"""ON732140""","""BA.2.31""",59620
"""ON466281""","""BA.2.31""",59638
"""OP157606""","""BA.2.31""",59316
"""ON823315""","""BA.2.31""",59640
"""ON364424""","""BA.2.31""",59616
"""ON574439""","""BA.2.31""",59790
"""ON689804""","""BA.2.31""",59790
"""ON656639""","""BA.2.31""",59222
"""ON362096""","""BA.2.31""",59554
"""ON311687""","""BA.2.31""",59554
"""OW293424""","""BA.2.31""",59554
"""ON199511""","""BA.2.31""",59554
"""ON765746""","""BA.2.31""",59554
"""ON417892""","""BA.2.31""",59554
"""ON254343""","""BA.2.31""",59554
"""OW327362""","""BA.2.31""",59782
"""ON538070""","""BA.2.31""",59718
"""ON643407""","""BA.2.31""",59716
"""ON776431""","""BA.2.31""",59252
"""ON824028""","""BA.2.31""",59704
"""ON927761""","""BA.2.31""",59564
"""OW292629""","""BA.2.31""",59426
"""ON253372""","""BA.2.31""",59428
"""ON234480""","""BA.2.31""",59478
"""ON392501""","""BA.2.31""",59554
"""ON535112""","""BA.2.31""",59554
"""ON511967""","""BA.2.31""",59806
"""ON652732""","""BA.2.31""",59742
"""ON091796""","""BA.2.31""",59616
"""ON654713""","""BA.2.31""",59616
"""ON800995""","""BA.2.31""",59616
"""ON330545""","""BA.2.31""",59634
"""ON610782""","""BA.2.31""",59734
"""ON362114""","""BA.2.31""",59408
"""ON702067""","""BA.2.31""",59416
"""ON223211""","""BA.2.31""",59418
"""ON536213""","""BA.2.31""",59636
"""ON203921""","""BA.2.31""",59644
"""ON811467""","""BA.2.31""",59712
"""ON455546""","""BA.2.31""",59392
"""OW532459""","""BA.2.31""",59616
"""ON999228""","""BA.2.31""",59738
"""ON826901""","""BA.2.31""",59738
"""ON519999""","""BA.2.31""",59740
"""ON739146""","""BA.2.31""",59764
"""ON349108""","""BA.2.31""",59776
"""ON820744""","""BA.2.31""",59788
"""OX209569""","""BA.2.31""",59748
"""ON888341""","""BA.2.31""",59738
"""ON821030""","""BA.2.31""",59740
"""ON643447""","""BA.2.31""",59740
"""ON998949""","""BA.2.31""",59740
"""ON676902""","""BA.2.31""",59554
"""OW552278""","""BA.2.31""",59554
"""ON761742""","""BA.2.31""",59616
"""ON827236""","""BA.2.31""",59616
"""ON965581""","""BA.2.31""",59640
"""ON638888""","""BA.2.31""",59640
"""ON297398""","""BA.2.31""",59632
"""ON363977""","""BA.2.31""",59620
"""ON999985""","""BA.2.31""",59416
"""ON414702""","""BA.2.31""",59416
"""ON345031""","""BA.2.31""",59416
"""ON690525""","""BA.2.31""",59416
"""ON972706""","""BA.2.31""",59408
"""OX206541""","""BA.2.31""",59418
"""ON680284""","""BA.2.31""",59418
"""OW277891""","""BA.2.31""",59418
"""ON308627""","""BA.2.31""",59416
"""ON362693""","""BA.2.31""",59418
"""OW348017""","""BA.2.31""",59380
"""ON811463""","""BA.2.31""",59062
"""ON422823""","""BA.2.31""",59794
"""OX061824""","""BA.2.31""",59738
"""ON466805""","""BA.2.31""",59738
"""ON940328""","""BA.2.31""",59740
"""ON916046""","""BA.2.31""",59738
"""OW417197""","""BA.2.31""",59688
"""ON801098""","""BA.2.31""",59664
"""ON759562""","""BA.2.31""",59740
"""OW643494""","""BA.2.31""",59582
"""ON412534""","""BA.2.31""",59360
"""ON775946""","""BA.2.31""",59662
"""ON253964""","""BA.2.31""",59554
"""ON844294""","""BA.2.31""",59554
"""ON921583""","""BA.2.31""",59662
"""ON661195""","""BA.2.31""",59646
"""ON467285""","""BA.2.31""",59642
"""ON894970""","""BA.2.31""",59286
"""ON678495""","""BA.2.31""",59286
"""ON396341""","""BA.2.31""",59286
"""ON571242""","""BA.2.31""",59740
"""ON336692""","""BA.2.31""",59670
"""ON972757""","""BA.2.31""",59738
"""ON900889""","""BA.2.31""",59738
"""OW253465""","""BA.2.31""",59740
"""ON620777""","""BA.2.31""",59688
"""OW682278""","""BA.2.31""",59738
"""ON380868""","""BA.2.31""",59688
"""ON048357""","""BA.2.31""",59738
"""OW309066""","""AY.36.1""",59688
"""OV245434""","""AY.36.1""",59688
"""OV663510""","""AY.36.1""",59738
"""OW302472""","""AY.36.1""",59416
"""OV012459""","""AY.36.1""",59416
"""OV675844""","""AY.36.1""",59418
"""OV243677""","""AY.36.1""",59416
"""OW296743""","""AY.36.1""",59410
"""OW557768""","""AY.36.1""",59416
"""OV192807""","""AY.36.1""",59416
"""OW650706""","""AY.36.1""",59782
"""OV613722""","""AY.36.1""",59764
"""OV244152""","""AY.36.1""",59786
"""OV244651""","""AY.36.1""",59554
"""OV257696""","""AY.36.1""",59554
"""OV617729""","""AY.36.1""",59554
"""OV663639""","""AY.36.1""",59634
"""OV540382""","""AY.36.1""",59616
"""OV612324""","""AY.36.1""",59640
"""OV536236""","""AY.36.1""",59616
"""OV694966""","""AY.36.1""",59616
"""OV094376""","""AY.36.1""",59616
"""OV512972""","""AY.36.1""",59616
"""OV662859""","""AY.36.1""",59208
"""OV665842""","""AY.36.1""",58658
"""OV209127""","""AY.36.1""",59788
"""OW714568""","""AY.36.1""",59786
"""OX003922""","""AY.36.1""",59734
"""OV206834""","""AY.36.1""",59792
"""OV424678""","""AY.36.1""",59736
"""OV372289""","""AY.36.1""",59554
"""OV119797""","""AY.36.1""",59554
"""OV612016""","""AY.36.1""",59554
"""OW558890""","""AY.36.1""",59554
"""OW704406""","""AY.36.1""",59636
"""OV485811""","""AY.36.1""",59636
"""OV694890""","""AY.36.1""",59638
"""OV672342""","""AY.36.1""",59738
"""OV677772""","""AY.36.1""",59688
"""OV845625""","""AY.36.1""",59738
"""OV522631""","""AY.36.1""",59688
"""OV506984""","""AY.36.1""",59740
"""OV224092""","""AY.36.1""",59740
"""OV217028""","""AY.36.1""",59738
"""OV516193""","""AY.36.1""",59738
"""OV661582""","""AY.36.1""",59740
"""OW610333""","""AY.36.1""",59742
"""OV515942""","""AY.36.1""",59742
"""OV640281""","""AY.36.1""",59740
"""OV248523""","""AY.36.1""",59738
"""OV657897""","""AY.36.1""",59286
"""OV496156""","""AY.36.1""",59220
"""OW714970""","""AY.36.1""",59654
"""OV113510""","""AY.36.1""",59416
"""OV116405""","""AY.36.1""",59416
"""OW667340""","""AY.36.1""",59416
"""OV248281""","""AY.36.1""",59416
"""OW398451""","""AY.36.1""",59416
"""OV501596""","""AY.36.1""",59738
"""OV372700""","""AY.36.1""",59688
"""OV664262""","""AY.36.1""",59688
"""OV221819""","""AY.36.1""",59738
"""OV535421""","""AY.36.1""",59738
"""OV539346""","""AY.36.1""",59688
"""OV692262""","""AY.36.1""",59738
"""OW525398""","""AY.36.1""",59738
"""OW527002""","""AY.36.1""",59738
"""OV613024""","""AY.36.1""",59688
"""OV519254""","""AY.36.1""",59688
"""OV014001""","""AY.36.1""",59740
"""OV506255""","""AY.36.1""",59740
"""OW705652""","""AY.36.1""",59740
"""OW308299""","""AY.36.1""",59688
"""OV844062""","""AY.36.1""",59738
"""OV586751""","""AY.36.1""",59740
"""OV695551""","""AY.36.1""",59688
"""OV683975""","""AY.36.1""",59738
"""OV013015""","""AY.36.1""",59740
"""OW611435""","""AY.36.1""",59738
"""OV590626""","""AY.36.1""",59738
"""OV248505""","""AY.36.1""",59062
"""OV612961""","""AY.36.1""",59062
"""OV216485""","""AY.36.1""",59062
"""OV695474""","""AY.36.1""",59636
"""OV532569""","""AY.36.1""",59638
"""OV244879""","""AY.36.1""",59630
"""OW560863""","""AY.36.1""",59640
"""OV248152""","""AY.36.1""",59610
"""OV498516""","""AY.36.1""",59634
"""OV663083""","""AY.36.1""",59616
"""OV244218""","""AY.36.1""",59616
"""OV518860""","""AY.36.1""",59616
"""OV669917""","""AY.36.1""",59616
"""OV667027""","""AY.36.1""",59616
"""OW618148""","""AY.36.1""",59616
"""OV223459""","""AY.36.1""",59616
"""OV538346""","""AY.36.1""",58658
"""OW679394""","""AY.36.1""",58658
"""OW684049""","""AY.36.1""",58766
"""OV620082""","""AY.36.1""",59554
"""OV223561""","""AY.36.1""",58996
"""OV208121""","""AY.36.1""",59554
"""OV224114""","""AY.36.1""",58996
"""OV200073""","""AY.36.1""",59554
"""OV223611""","""AY.36.1""",59554
"""OV628756""","""AY.36.1""",59316
"""OV516182""","""AY.36.1""",59554
"""OV518013""","""AY.36.1""",59654
"""OW789589""","""AY.36.1""",59602
"""OW309597""","""AY.36.1""",59554
"""OV242982""","""AY.36.1""",59554
"""OW683485""","""AY.36.1""",59662
"""OV429928""","""AY.36.1""",59734
"""OW604084""","""AY.36.1""",59626
"""OV515116""","""AY.36.1""",59640
"""OV206614""","""AY.36.1""",59374
"""OW582480""","""AY.36.1""",59584
"""OV207770""","""AY.36.1""",59062
"""OV591116""","""AY.36.1""",59062
"""OV021012""","""AY.36.1""",59062
"""OV619737""","""AY.36.1""",59062
"""OV690981""","""AY.36.1""",59062
"""OV543378""","""AY.36.1""",59062
"""OV205299""","""AY.36.1""",59062
"""OV657554""","""AY.36.1""",59062
"""OV845213""","""AY.36.1""",59062
"""OV221634""","""AY.36.1""",59062
"""OV688272""","""AY.36.1""",59418
"""OV516893""","""AY.36.1""",59416
"""OV506215""","""AY.36.1""",59418
"""OW625951""","""AY.36.1""",59416
"""OW612108""","""AY.36.1""",59416
"""OV693697""","""AY.36.1""",59416
"""OW585187""","""AY.36.1""",59418
"""OV246820""","""AY.36.1""",59418
"""OW649891""","""AY.36.1""",59616
"""OV660711""","""AY.36.1""",59782
"""OV246761""","""AY.36.1""",59794
"""OW300880""","""AY.36.1""",59796
"""OV668636""","""AY.36.1""",59742
"""OV634036""","""AY.36.1""",59796
"""OW557694""","""AY.36.1""",59746
"""OV233653""","""AY.36.1""",59782
"""OV677958""","""AY.36.1""",59736
"""OV200063""","""AY.36.1""",59482
"""OW671015""","""AY.36.1""",59554
"""OV666274""","""AY.36.1""",59646
"""OV193234""","""AY.36.1""",59662
"""OW542727""","""AY.36.1""",59738
"""OW644542""","""AY.36.1""",59682
"""OV109425""","""AY.36.1""",59738
"""OV613687""","""AY.36.1""",59688
"""OV424329""","""AY.36.1""",59738
"""OV526093""","""AY.36.1""",59738
"""OV242635""","""AY.36.1""",59688
"""OW623325""","""AY.36.1""",59740
"""OV693671""","""AY.36.1""",59738
"""OW778480""","""AY.36.1""",59738
"""OV537054""","""AY.36.1""",59616
"""OV207229""","""AY.36.1""",59792
"""OV223265""","""AY.36.1""",59742
"""OW448607""","""AY.36.1""",59380
"""OU980510""","""AY.36.1""",59062
"""OV645977""","""AY.36.1""",59316
"""OV648977""","""AY.36.1""",59618
"""OV516237""","""AY.36.1""",59616
"""OW551380""","""AY.36.1""",59738
"""OV224066""","""AY.36.1""",59738
"""OV537743""","""AY.36.1""",59688
"""OV193229""","""AY.36.1""",59688
"""OV224097""","""AY.36.1""",59738
"""OV223536""","""AY.36.1""",59738
"""OW559759""","""AY.36.1""",59738
"""OV501553""","""AY.36.1""",59708
"""OV658092""","""AY.36.1""",59776
"""OV657936""","""AY.36.1""",59792
"""OV502928""","""AY.36.1""",59736
"""OV536759""","""AY.36.1""",59768
"""OV498561""","""AY.36.1""",59774
"""OV591173""","""AY.36.1""",59766
"""OV855211""","""AY.36.1""",59700
"""OV662858""","""AY.36.1""",59724
"""OV501560""","""AY.36.1""",59736
"""OV663013""","""AY.36.1""",59764
"""OW714419""","""AY.36.1""",59766
"""OV207757""","""AY.36.1""",59790
"""OV243007""","""AY.36.1""",59062
"""OV501229""","""AY.36.1""",59554
"""OV693194""","""AY.36.1""",59554
"""OV426696""","""AY.36.1""",59554
"""OW628595""","""AY.36.1""",59554
"""OV664647""","""AY.36.1""",59554
"""OV241924""","""AY.36.1""",59554
"""OW552043""","""AY.36.1""",58658
"""OV512963""","""AY.36.1""",58658
"""OW574432""","""AY.36.1""",58658
"""OW312940""","""AY.36.1""",59132
"""OV626983""","""AY.36.1""",59286
